26889	P 4/n m m S	Fe Se	FeSe	Roentgenuntersuchungen am System Eisen - Selen.	Haegg, G.;  Kindstroem, A.L.	Zeitschrift fuer Physikalische Chemie, Abteilung B: Chemie der Elementarprozesse, Aufbau der Materie (1933) 22,  p453-p464
28837	P 4/m m m	Pd O	FeSe(tP2)	Ossidi di palladio	Levi, G.R.;  Fontana, C.	Gazzetta Chimica Italiana (1926) 56,  p388-p396
78268	P 4/n m m S	Cu I	FeSe	High-pressure polymorphism of the copper(I) halides: a neutron-diffraction study to ca. 10 GPa	Hull, S.;  Keen, D.A.	Physical Review, Serie 3. B - Condensed Matter (18,1978-) (1994) 50, (9) p5868-p5885
78269	P 4/n m m S	Cu I	FeSe	High-pressure polymorphism of the copper(I) halides: a neutron-diffraction study to ca. 10 GPa	Hull, S.;  Keen, D.A.	Physical Review, Serie 3. B - Condensed Matter (18,1978-) (1994) 50, (9) p5868-p5885
81087	P 4/n m m S	Fe S	FeSe	Synthesis and Rietveld crystal structure refinement of mackinawite,tetragonal Fe S	Lennie, A.R.;  Redfern, S.A.T.;  Schofield, P.F.;  Vaughan, D.J.	Mineralogical Magazine (1969-) (1995) 59,  p677-p683
42977	P 4/n m m S	Fe S	FeSe	The structure of tetragonal FeS	Uda, M.	Zeitschrift fuer Anorganische und Allgemeine Chemie (1950) (DE) (1968) 361,  p94-p98
43391	P 4/n m m S	Fe S	FeSe	Tetragonal iron sulfide	Berner, R.A.	Science (1962) 137,  p669-p669
44753	P 4/n m m S	Fe Te	FeSe	Some electrical characteristics of single crystal iron monotelluride	Finlayson, D.M.;  Greig, G.;  Llewellyn, J.S.;  Smith, T.	Proceedings of the Physical Society, London (1956) 69,  p860-p862
64823	P 4/n m m S	(Cu Fe) Te2	FeSe	Semiconducting properties of Cu Fe Te2	Vaipolin, A.A.;  Prochukhan, V.D.;  Rud&#39;, Yu.V.;  Skoryukin, V.E.	Izvestiya Akademii Nauk SSSR, Neorganicheskie Materialy (1984) 20,  p578-p581
53543	P 4/m m m	Fe Se	FeSe(tP2)	Studies of structure, electrical resistivity, and modulated structures in Fe Se and Ni Se alloys	Srivastava, M.M.;  Srivastava, O.N.	Acta Crystallographica A (24,1968-38,1982) (1975) 31,  p82-p82
633302	P 4/n m m S	Fe S	FeSe	Sur l&#39;absence d&#39;ordre magnetique dans la forme quadratique de Fe S	Bertaut, E.F.;  Burlet, P.;  Chappert, J.	Solid State Communications (1965) 3,  p335-p338
633467	P 4/m m m	Fe Se	FeSe(tP2)	Studies of structure, electrical resistivity, and modulated structures in Fe Se and Ni Se alloys	Srivastava, M.M.;  Srivastava, O.N.	Acta Crystallographica A (24,1968-38,1982) (1975) 31,  pS82-pS82
633480	P 4/n m m Z	Fe Se	FeSe	Transition metal-chalcogen systems, VII.: The iron-selenium phase diagram	Schuster, W.;  Mikler, H.;  Komarek, K.L.	Monatshefte fuer Chemie (1979) 110,  p1153-p1170
633492	P 4/n m m S	Fe Se	FeSe	Roentgenuntersuchungen am System Eisen - Selen.	Haegg, G.;  Kindstrom, A.L.	Zeitschrift fuer Physikalische Chemie, Abteilung B: Chemie der Elementarprozesse, Aufbau der Materie (1933) 22,  p453-p464
633877	P 4/n m m S	Fe Te	FeSe	Some electrical characteristics of single crystal iron monotelluride	Finlayson, D.M.;  Greig, G.;  Llewellyn, J.S.;  Smith, T.	Proc. Phys. Soc. B (1956) 69,  p860-p862
290406	P 4/n m m Z	Fe Se0.913	FeSe	Simultaneous measurement of pressure evolution of crystal structure and superconductivity in Fe Se0.92 using designer diamonds	Uhoya, Walter;  Tsoi, Georgiy;  Vohra, Yogesh;  Wolanyk, Nathaniel;  Rao, Sistla Muralidhara;  Wu, Maw-Kuen;  Weir, Samuel	EPL - A letters journal exploring the frontiers of physics (2012) 99, (2) p26002-1-p26002-6
290701	P 4/n m m Z	Fe Se	FeSe	Modelling the electronic structure and magnetic properties of Li Fe As and Fe Se using hybrid-exchange density functional theory	Wu, Wei	Solid State Communications (2013) 161,  p23-p28
161789	P 4/n m m S	Fe Se0.92	FeSe	Crytal structure of the new Fe Se1-x superconductor	Margadonna, S.;  Takabayashi, Y.;  McDonald, M.T.;  Kasperkiewicz, K.;  Mizuguchi, Y.;  Takano, Y.;  Fitch, A.N.;  Suard, E.;  Prassides, K.	ChemComm - Chemical Communications (2008) 2008,  p5607-p5609
420379	P 4/n m m Z	Fe0.997 Se	FeSe	Extreme sensitivity of superconductivity to stoichiometry in Fe1+d Se	McQueen, T.M.;  Huang, Q.;  Ksenofontov, V.;  Felser, C.;  Xu, Q.;  Zandbergen, H.;  Hor, Y.S.;  Allred, J.;  Williams, A.J.;  Qu, D.;  Checkelsky, J.;  Ong, N.P.;  Cava, R.J.	Physical Review, Serie 3. B - Condensed Matter (18,1978-) (2009) 79,  p014522-1-p014522-7
162723	P 4/n m m Z	Fe0.987 Se	FeSe	Extreme sensitivity of superconductivity to stoichiometry in Fe1+d Se	McQueen, T.M.;  Huang, Q.;  Ksenofontov, V.;  Felser, C.;  Xu, Q.;  Zandbergen, H.;  Hor, Y.S.;  Allred, J.;  Williams, A.J.;  Qu, D.;  Checkelsky, J.;  Ong, N.P.;  Cava, R.J.	Physical Review, Serie 3. B - Condensed Matter (18,1978-) (2009) 79,  p014522-1-p014522-7
162900	P 4/n m m S	Mn Se	FeSe	Electronic and magnetic properties of 3d transition-metal selenides from first principles	Ding Yi;  Wang Yanli;  Ni Jun	Solid State Communications (2009) 149,  p505-p509
162901	P 4/n m m S	Fe Se	FeSe	Electronic and magnetic properties of 3d transition-metal selenides from first principles	Ding Yi;  Wang Yanli;  Ni Jun	Solid State Communications (2009) 149,  p505-p509
162902	P 4/n m m S	Co Se	FeSe	Electronic and magnetic properties of 3d transition-metal selenides from first principles	Ding Yi;  Wang Yanli;  Ni Jun	Solid State Communications (2009) 149,  p505-p509
162903	P 4/n m m S	Ni Se	FeSe	Electronic and magnetic properties of 3d transition-metal selenides from first principles	Ding Yi;  Wang Yanli;  Ni Jun	Solid State Communications (2009) 149,  p505-p509
162904	P 4/n m m S	Cu Se	FeSe	Electronic and magnetic properties of 3d transition-metal selenides from first principles	Ding Yi;  Wang Yanli;  Ni Jun	Solid State Communications (2009) 149,  p505-p509
163559	P 4/n m m S	Fe Se	FeSe	Pressure-induced effects on the structure of the Fe Se superconductor	Millican, J.N.;  Phelan, D.;  Thomas, E.L.;  Leao, J.B.;  Carpenter, E.	Solid State Communications (2009) 149,  p707-p710
163560	P 4/n m m S	Fe Se	FeSe	Pressure-induced effects on the structure of the Fe Se superconductor	Millican, J.N.;  Phelan, D.;  Thomas, E.L.;  Leao, J.B.;  Carpenter, E.	Solid State Communications (2009) 149,  p707-p710
163561	P 4/n m m S	Fe Se	FeSe	Pressure-induced effects on the structure of the Fe Se superconductor	Millican, J.N.;  Phelan, D.;  Thomas, E.L.;  Leao, J.B.;  Carpenter, E.	Solid State Communications (2009) 149,  p707-p710
163562	P 4/n m m S	Fe Se	FeSe	Pressure-induced effects on the structure of the Fe Se superconductor	Millican, J.N.;  Phelan, D.;  Thomas, E.L.;  Leao, J.B.;  Carpenter, E.	Solid State Communications (2009) 149,  p707-p710
165939	P 4/n m m S	Fe (Se0.5 Te0.5)	FeSe	Relationship between structure and superconductivity in Fe Se1-x Tex	Horigane, K.;  Hiraka, H.;  Ohoyama, K.	Journal of the Physical Society of Japan (2009) 78,  p07478-1-p074718-5
165940	P 4/n m m S	Fe (Se0.5 Te0.5)	FeSe	RElationship between structure and superconductivity in Fe Se1-x Tex	Horigane, K.;  Hiraka, H.;  Ohoyama, K.	Journal of the Physical Society of Japan (2009) 78,  p07478-1-p074718-5
165941	P 4/n m m S	Fe (Se0.5 Te0.5)	FeSe	RElationship between structure and superconductivity in Fe Se1-x Tex	Horigane, K.;  Hiraka, H.;  Ohoyama, K.	Journal of the Physical Society of Japan (2009) 78,  p07478-1-p074718-5
165942	P 4/n m m S	Fe (Se0.5 Te0.5)	FeSe	RElationship between structure and superconductivity in Fe Se1-x Tex	Horigane, K.;  Hiraka, H.;  Ohoyama, K.	Journal of the Physical Society of Japan (2009) 78,  p07478-1-p074718-5
165943	P 4/n m m S	Fe (Se0.5 Te0.5)	FeSe	Relationship between structure and superconductivity in Fe Se1-x Tex	Horigane, K.;  Hiraka, H.;  Ohoyama, K.	Journal of the Physical Society of Japan (2009) 78,  p07478-1-p074718-5
165944	P 4/n m m S	Fe (Se0.5 Te0.5)	FeSe	Relationship between structure and superconductivity in Fe Se1-x Tex	Horigane, K.;  Hiraka, H.;  Ohoyama, K.	Journal of the Physical Society of Japan (2009) 78,  p07478-1-p074718-5
165945	P 4/n m m S	Fe (Se0.375 Te0.625)	FeSe	Relationship between structure and superconductivity in Fe Se1-x Tex	Horigane, K.;  Hiraka, H.;  Ohoyama, K.	Journal of the Physical Society of Japan (2009) 78,  p07478-1-p074718-5
165946	P 4/n m m S	Fe (Se0.375 Te0.625)	FeSe	RElationship between structure and superconductivity in Fe Se1-x Tex	Horigane, K.;  Hiraka, H.;  Ohoyama, K.	Journal of the Physical Society of Japan (2009) 78,  p07478-1-p074718-5
165947	P 4/n m m S	Fe (Se0.375 Te0.625)	FeSe	RElationship between structure and superconductivity in Fe Se1-x Tex	Horigane, K.;  Hiraka, H.;  Ohoyama, K.	Journal of the Physical Society of Japan (2009) 78,  p07478-1-p074718-5
165948	P 4/n m m S	Fe (Se0.375 Te0.625)	FeSe	Relationship between structure and superconductivity in Fe Se1-x Tex	Horigane, K.;  Hiraka, H.;  Ohoyama, K.	Journal of the Physical Society of Japan (2009) 78,  p07478-1-p074718-5
165949	P 4/n m m S	Fe (Se0.25 Te0.75)	FeSe	Relationship between structure and superconductivity in Fe Se1-x Tex	Horigane, K.;  Hiraka, H.;  Ohoyama, K.	Journal of the Physical Society of Japan (2009) 78,  p07478-1-p074718-5
165950	P 4/n m m S	Fe (Se0.25 Te0.75)	FeSe	Relationship between structure and superconductivity in Fe Se1-x Tex	Horigane, K.;  Hiraka, H.;  Ohoyama, K.	Journal of the Physical Society of Japan (2009) 78,  p07478-1-p074718-5
165951	P 4/n m m S	Fe (Se0.25 Te0.75)	FeSe	Relationship between structure and superconductivity in Fe Se1-x Tex	Horigane, K.;  Hiraka, H.;  Ohoyama, K.	Journal of the Physical Society of Japan (2009) 78,  p07478-1-p074718-5
165952	P 4/n m m S	Fe (Se0.25 Te0.75)	FeSe	Relationship between structure and superconductivity in Fe Se1-x Tex	Horigane, K.;  Hiraka, H.;  Ohoyama, K.	Journal of the Physical Society of Japan (2009) 78,  p07478-1-p074718-5
165953	P 4/n m m S	Fe (Se0.125 Te0.875)	FeSe	Relationship between structure and superconductivity in Fe Se1-x Tex	Horigane, K.;  Hiraka, H.;  Ohoyama, K.	Journal of the Physical Society of Japan (2009) 78,  p07478-1-p074718-5
165954	P 4/n m m S	Fe (Se0.125 Te0.875)	FeSe	Relationship between structure and superconductivity in Fe Se1-x Tex	Horigane, K.;  Hiraka, H.;  Ohoyama, K.	Journal of the Physical Society of Japan (2009) 78,  p07478-1-p074718-5
165955	P 4/n m m S	Fe (Se0.125 Te0.875)	FeSe	Relationship between structure and superconductivity in Fe Se1-x Tex	Horigane, K.;  Hiraka, H.;  Ohoyama, K.	Journal of the Physical Society of Japan (2009) 78,  p07478-1-p074718-5
165956	P 4/n m m S	Fe (Se0.125 Te0.875)	FeSe	Relationship between structure and superconductivity in Fe Se1-x Tex	Horigane, K.;  Hiraka, H.;  Ohoyama, K.	Journal of the Physical Society of Japan (2009) 78,  p07478-1-p074718-5
165958	P 4/n m m S	Fe Se	FeSe	Relationship between structure and superconductivity in Fe Se1-x Tex	Horigane, K.;  Hiraka, H.;  Ohoyama, K.	Journal of the Physical Society of Japan (2009) 78,  p07478-1-p074718-5
165959	P 4/n m m S	Fe Se	FeSe	Relationship between structure and superconductivity in Fe Se1-x Tex	Horigane, K.;  Hiraka, H.;  Ohoyama, K.	Journal of the Physical Society of Japan (2009) 78,  p07478-1-p074718-5
165960	P 4/n m m S	Fe Se	FeSe	Relationship between structure and superconductivity in Fe Se1-x Tex	Horigane, K.;  Hiraka, H.;  Ohoyama, K.	Journal of the Physical Society of Japan (2009) 78,  p07478-1-p074718-5
165983	P 4/n m m Z	Fe Se0.99	FeSe	Synthesis, crystal structure and chemical stability of the superconductor Fe Se1-x	Pomjakushina, E.;  Conder, K.;  Pomjakushin, V.;  Bendele, M.;  Khasanov, R.	Physical Review, Serie 3. B - Condensed Matter (18,1978-) (2009) 80,  p024517-1-p024517-7
165981	P 4/n m m Z	Fe Se0.975	FeSe	Synthesis, crystal structure and chemical stability of the superconductor Fe Se1-x	Pomjakushina, E.;  Conder, K.;  Pomjakushin, V.;  Bendele, M.;  Khasanov, R.	Physical Review, Serie 3. B - Condensed Matter (18,1978-) (2009) 80,  p024517-1-p024517-7
165982	P 4/n m m Z	Fe Se0.963	FeSe	Synthesis, crystal structure and chemical stability of the superconductor Fe Se1-x	Pomjakushina, E.;  Conder, K.;  Pomjakushin, V.;  Bendele, M.;  Khasanov, R.	Physical Review, Serie 3. B - Condensed Matter (18,1978-) (2009) 80,  p024517-1-p024517-7
167239	P 4/n m m Z	Fe Se0.984	FeSe	Structural and superconductivity study on alpha-(Fe Sex)	Li Zhaofei;  Ju Jing;  Tang Jun;  Sato, K.;  Watahiki, M.;  Tanigaki, K.	Journal of Physics and Chemistry of Solids (2010) 71,  p495-p498
167240	P 4/n m m Z	Fe Se0.984	FeSe	Structural and superconductivity study on alpha-(Fe Sex)	Li Zhaofei;  Ju Jing;  Tang Jun;  Sato, K.;  Watahiki, M.;  Tanigaki, K.	Journal of Physics and Chemistry of Solids (2010) 71,  p495-p498
