Material,Publications,Crystal System,Space Group,Calculated Band Gap,superconduct,conduct,resist,metal,insulator,doped,ferromagnetism,antiferromagnetism,ferrimagnetism,magnet,\d K,DFT,DMFT,charge density wave,band structure,susceptibility,NMR,nuclear magnetic resonance,neutron,mu-SR,x-ray
"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\sulfidesMaterialsKeySearchFull.csv]sulfidesMaterialsKeySearchFull!A1"",""La2Fe2S5"")",11,orthorhombic,36,0,,,,"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\sulfidesMaterialsKeySearchFull.csv]sulfidesMaterialsKeySearchFull!A3"",""2"")",,,,,,"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\sulfidesMaterialsKeySearchFull.csv]sulfidesMaterialsKeySearchFull!A4"",""3"")","=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\sulfidesMaterialsKeySearchFull.csv]sulfidesMaterialsKeySearchFull!A5"",""3"")",,,,,"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\sulfidesMaterialsKeySearchFull.csv]sulfidesMaterialsKeySearchFull!A6"",""3"")",,,"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\sulfidesMaterialsKeySearchFull.csv]sulfidesMaterialsKeySearchFull!A7"",""1"")",,
"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\sulfidesMaterialsKeySearchFull.csv]sulfidesMaterialsKeySearchFull!A10"",""La3Fe2S7"")",0,hexagonal,173,0,,,,,,,,,,,,,,,,,,,,,
"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\sulfidesMaterialsKeySearchFull.csv]sulfidesMaterialsKeySearchFull!A14"",""Ba3CrS5"")",1,hexagonal,185,0,,,,"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\sulfidesMaterialsKeySearchFull.csv]sulfidesMaterialsKeySearchFull!A16"",""1"")",,,,,,,,,,,,,,,,,
"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\sulfidesMaterialsKeySearchFull.csv]sulfidesMaterialsKeySearchFull!A19"",""Ba6Fe8S15"")",8,tetragonal,87,0,"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\sulfidesMaterialsKeySearchFull.csv]sulfidesMaterialsKeySearchFull!A21"",""1"")","=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\sulfidesMaterialsKeySearchFull.csv]sulfidesMaterialsKeySearchFull!A22"",""3"")","=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\sulfidesMaterialsKeySearchFull.csv]sulfidesMaterialsKeySearchFull!A23"",""1"")",,,,,,,"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\sulfidesMaterialsKeySearchFull.csv]sulfidesMaterialsKeySearchFull!A24"",""6"")","=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\sulfidesMaterialsKeySearchFull.csv]sulfidesMaterialsKeySearchFull!A25"",""7"")",,,,,,,,"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\sulfidesMaterialsKeySearchFull.csv]sulfidesMaterialsKeySearchFull!A26"",""2"")",,
"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\sulfidesMaterialsKeySearchFull.csv]sulfidesMaterialsKeySearchFull!A29"",""BaFe2S3"")",7,orthorhombic,63,0,,"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\sulfidesMaterialsKeySearchFull.csv]sulfidesMaterialsKeySearchFull!A31"",""1"")",,,,,,,,"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\sulfidesMaterialsKeySearchFull.csv]sulfidesMaterialsKeySearchFull!A32"",""4"")","=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\sulfidesMaterialsKeySearchFull.csv]sulfidesMaterialsKeySearchFull!A33"",""5"")",,,,,,,,"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\sulfidesMaterialsKeySearchFull.csv]sulfidesMaterialsKeySearchFull!A34"",""1"")",,
"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\sulfidesMaterialsKeySearchFull.csv]sulfidesMaterialsKeySearchFull!A37"",""Ba7(Fe3S7)2, Ba7Fe6S14"")",0,monoclinic,15,0,,,,,,,,,,,,,,,,,,,,,
"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\sulfidesMaterialsKeySearchFull.csv]sulfidesMaterialsKeySearchFull!A41"",""Ba(FeS2)2, BaFe2S4"")",8,"tetragonal, tetragonal, tetragonal","97, 79, 87","0, 0, 0",,"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\sulfidesMaterialsKeySearchFull.csv]sulfidesMaterialsKeySearchFull!A43"",""3"")",,"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\sulfidesMaterialsKeySearchFull.csv]sulfidesMaterialsKeySearchFull!A44"",""3"")",,,,,,,"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\sulfidesMaterialsKeySearchFull.csv]sulfidesMaterialsKeySearchFull!A45"",""1"")",,,,,,,,,,
"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\sulfidesMaterialsKeySearchFull.csv]sulfidesMaterialsKeySearchFull!A48"",""BaCoS2"")",31,tetragonal,129,0,"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\sulfidesMaterialsKeySearchFull.csv]sulfidesMaterialsKeySearchFull!A50"",""2"")","=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\sulfidesMaterialsKeySearchFull.csv]sulfidesMaterialsKeySearchFull!A51"",""11"")","=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\sulfidesMaterialsKeySearchFull.csv]sulfidesMaterialsKeySearchFull!A52"",""11"")","=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\sulfidesMaterialsKeySearchFull.csv]sulfidesMaterialsKeySearchFull!A53"",""17"")","=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\sulfidesMaterialsKeySearchFull.csv]sulfidesMaterialsKeySearchFull!A54"",""14"")","=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\sulfidesMaterialsKeySearchFull.csv]sulfidesMaterialsKeySearchFull!A55"",""3"")",,,,"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\sulfidesMaterialsKeySearchFull.csv]sulfidesMaterialsKeySearchFull!A56"",""23"")","=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\sulfidesMaterialsKeySearchFull.csv]sulfidesMaterialsKeySearchFull!A57"",""10"")",,"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\sulfidesMaterialsKeySearchFull.csv]sulfidesMaterialsKeySearchFull!A58"",""1"")",,"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\sulfidesMaterialsKeySearchFull.csv]sulfidesMaterialsKeySearchFull!A59"",""3"")","=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\sulfidesMaterialsKeySearchFull.csv]sulfidesMaterialsKeySearchFull!A60"",""8"")",,,"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\sulfidesMaterialsKeySearchFull.csv]sulfidesMaterialsKeySearchFull!A61"",""3"")",,"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\sulfidesMaterialsKeySearchFull.csv]sulfidesMaterialsKeySearchFull!A62"",""1"")"
"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\sulfidesMaterialsKeySearchFull.csv]sulfidesMaterialsKeySearchFull!A65"",""BaNiS2"")",22,tetragonal,129,0,"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\sulfidesMaterialsKeySearchFull.csv]sulfidesMaterialsKeySearchFull!A67"",""3"")","=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\sulfidesMaterialsKeySearchFull.csv]sulfidesMaterialsKeySearchFull!A68"",""5"")","=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\sulfidesMaterialsKeySearchFull.csv]sulfidesMaterialsKeySearchFull!A69"",""3"")","=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\sulfidesMaterialsKeySearchFull.csv]sulfidesMaterialsKeySearchFull!A70"",""12"")","=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\sulfidesMaterialsKeySearchFull.csv]sulfidesMaterialsKeySearchFull!A71"",""8"")","=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\sulfidesMaterialsKeySearchFull.csv]sulfidesMaterialsKeySearchFull!A72"",""1"")",,,,"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\sulfidesMaterialsKeySearchFull.csv]sulfidesMaterialsKeySearchFull!A73"",""11"")","=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\sulfidesMaterialsKeySearchFull.csv]sulfidesMaterialsKeySearchFull!A74"",""5"")",,"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\sulfidesMaterialsKeySearchFull.csv]sulfidesMaterialsKeySearchFull!A75"",""1"")",,"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\sulfidesMaterialsKeySearchFull.csv]sulfidesMaterialsKeySearchFull!A76"",""4"")","=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\sulfidesMaterialsKeySearchFull.csv]sulfidesMaterialsKeySearchFull!A77"",""3"")",,,,,
"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\sulfidesMaterialsKeySearchFull.csv]sulfidesMaterialsKeySearchFull!A80"",""K3(VS2)5, K3V5S10"")",2,triclinic,1,0,,,,,,,,,,,,,,,"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\sulfidesMaterialsKeySearchFull.csv]sulfidesMaterialsKeySearchFull!A82"",""1"")",,,,,,
"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\sulfidesMaterialsKeySearchFull.csv]sulfidesMaterialsKeySearchFull!A85"",""K(V5S8)2, KV10S16"")",5,monoclinic,13,0,,"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\sulfidesMaterialsKeySearchFull.csv]sulfidesMaterialsKeySearchFull!A87"",""1"")","=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\sulfidesMaterialsKeySearchFull.csv]sulfidesMaterialsKeySearchFull!A88"",""2"")","=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\sulfidesMaterialsKeySearchFull.csv]sulfidesMaterialsKeySearchFull!A89"",""3"")","=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\sulfidesMaterialsKeySearchFull.csv]sulfidesMaterialsKeySearchFull!A90"",""2"")",,,,,"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\sulfidesMaterialsKeySearchFull.csv]sulfidesMaterialsKeySearchFull!A91"",""4"")","=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\sulfidesMaterialsKeySearchFull.csv]sulfidesMaterialsKeySearchFull!A92"",""5"")",,,,,"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\sulfidesMaterialsKeySearchFull.csv]sulfidesMaterialsKeySearchFull!A93"",""2"")",,,"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\sulfidesMaterialsKeySearchFull.csv]sulfidesMaterialsKeySearchFull!A94"",""2"")",,
"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\sulfidesMaterialsKeySearchFull.csv]sulfidesMaterialsKeySearchFull!A97"",""K2Mn3S4"")",2,monoclinic,13,0,,,,,,,,,,,,,,,,,,,,,
"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\sulfidesMaterialsKeySearchFull.csv]sulfidesMaterialsKeySearchFull!A101"",""KFeS2"")",46,monoclinic,15,0,,"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\sulfidesMaterialsKeySearchFull.csv]sulfidesMaterialsKeySearchFull!A103"",""4"")","=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\sulfidesMaterialsKeySearchFull.csv]sulfidesMaterialsKeySearchFull!A104"",""5"")","=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\sulfidesMaterialsKeySearchFull.csv]sulfidesMaterialsKeySearchFull!A105"",""8"")",,,,,,"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\sulfidesMaterialsKeySearchFull.csv]sulfidesMaterialsKeySearchFull!A106"",""12"")","=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\sulfidesMaterialsKeySearchFull.csv]sulfidesMaterialsKeySearchFull!A107"",""8"")",,,,,"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\sulfidesMaterialsKeySearchFull.csv]sulfidesMaterialsKeySearchFull!A108"",""9"")",,,"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\sulfidesMaterialsKeySearchFull.csv]sulfidesMaterialsKeySearchFull!A109"",""3"")",,
"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\sulfidesMaterialsKeySearchFull.csv]sulfidesMaterialsKeySearchFull!A112"",""KFe2S3"")",14,orthorhombic,63,0,,,,,,,,,,"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\sulfidesMaterialsKeySearchFull.csv]sulfidesMaterialsKeySearchFull!A114"",""1"")","=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\sulfidesMaterialsKeySearchFull.csv]sulfidesMaterialsKeySearchFull!A115"",""2"")",,,,,,,,,,
"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\sulfidesMaterialsKeySearchFull.csv]sulfidesMaterialsKeySearchFull!A118"",""K3(FeS2)2, K3Fe2S4"")",1,orthorhombic,62,0,,,,,,,,,,,,,,,,,,,,,
"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\sulfidesMaterialsKeySearchFull.csv]sulfidesMaterialsKeySearchFull!A122"",""K2CoS2"")",1,orthorhombic,72,0,,,,,,,,,,,,,,,,,,,,,
"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\sulfidesMaterialsKeySearchFull.csv]sulfidesMaterialsKeySearchFull!A126"",""K(CoS)2, KCo2S2"")",5879,tetragonal,139,0,,"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\sulfidesMaterialsKeySearchFull.csv]sulfidesMaterialsKeySearchFull!A128"",""4"")","=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\sulfidesMaterialsKeySearchFull.csv]sulfidesMaterialsKeySearchFull!A129"",""2"")","=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\sulfidesMaterialsKeySearchFull.csv]sulfidesMaterialsKeySearchFull!A130"",""1"")","=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\sulfidesMaterialsKeySearchFull.csv]sulfidesMaterialsKeySearchFull!A131"",""2"")","=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\sulfidesMaterialsKeySearchFull.csv]sulfidesMaterialsKeySearchFull!A132"",""1"")",,,,"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\sulfidesMaterialsKeySearchFull.csv]sulfidesMaterialsKeySearchFull!A133"",""2"")","=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\sulfidesMaterialsKeySearchFull.csv]sulfidesMaterialsKeySearchFull!A134"",""1"")",,,,"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\sulfidesMaterialsKeySearchFull.csv]sulfidesMaterialsKeySearchFull!A135"",""1"")",,,,,,
