Material,Publications,Crystal System,Space Group,Calculated Band Gap,superconduct,conduct,resist,metal,insulator,doped,ferromagnetism,antiferromagnetism,ferrimagnetism,magnet,\d K,DFT,DMFT,charge density wave,band structure,susceptibility,NMR,nuclear magnetic resonance,neutron,mu-SR,x-ray
"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\sulfidesMaterialsKeySearchFull.csv]sulfidesMaterialsKeySearchFull!A138"",""K(NiS)2, KNi2S2"")",202,tetragonal,139,0,"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\sulfidesMaterialsKeySearchFull.csv]sulfidesMaterialsKeySearchFull!A140"",""2"")","=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\sulfidesMaterialsKeySearchFull.csv]sulfidesMaterialsKeySearchFull!A141"",""7"")","=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\sulfidesMaterialsKeySearchFull.csv]sulfidesMaterialsKeySearchFull!A142"",""4"")","=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\sulfidesMaterialsKeySearchFull.csv]sulfidesMaterialsKeySearchFull!A143"",""18"")","=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\sulfidesMaterialsKeySearchFull.csv]sulfidesMaterialsKeySearchFull!A144"",""1"")","=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\sulfidesMaterialsKeySearchFull.csv]sulfidesMaterialsKeySearchFull!A145"",""1"")",,,,"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\sulfidesMaterialsKeySearchFull.csv]sulfidesMaterialsKeySearchFull!A146"",""9"")","=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\sulfidesMaterialsKeySearchFull.csv]sulfidesMaterialsKeySearchFull!A147"",""19"")","=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\sulfidesMaterialsKeySearchFull.csv]sulfidesMaterialsKeySearchFull!A148"",""2"")",,,"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\sulfidesMaterialsKeySearchFull.csv]sulfidesMaterialsKeySearchFull!A149"",""2"")","=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\sulfidesMaterialsKeySearchFull.csv]sulfidesMaterialsKeySearchFull!A150"",""2"")","=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\sulfidesMaterialsKeySearchFull.csv]sulfidesMaterialsKeySearchFull!A151"",""1"")",,"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\sulfidesMaterialsKeySearchFull.csv]sulfidesMaterialsKeySearchFull!A152"",""2"")",,
"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\sulfidesMaterialsKeySearchFull.csv]sulfidesMaterialsKeySearchFull!A155"",""Ba5(FeS2)9, Ba5Fe9S18"")",0,tetragonal,130,0.0005,,,,,,,,,,,,,,,,,,,,,
"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\sulfidesMaterialsKeySearchFull.csv]sulfidesMaterialsKeySearchFull!A159"",""Sr(FeS2)2, SrFe2S4"")",10,"orthorhombic, orthorhombic","50, 50","0.0021, 0.0021",,"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\sulfidesMaterialsKeySearchFull.csv]sulfidesMaterialsKeySearchFull!A161"",""3"")","=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\sulfidesMaterialsKeySearchFull.csv]sulfidesMaterialsKeySearchFull!A162"",""1"")","=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\sulfidesMaterialsKeySearchFull.csv]sulfidesMaterialsKeySearchFull!A163"",""2"")",,,,,,"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\sulfidesMaterialsKeySearchFull.csv]sulfidesMaterialsKeySearchFull!A164"",""1"")",,,,,,,"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\sulfidesMaterialsKeySearchFull.csv]sulfidesMaterialsKeySearchFull!A165"",""1"")",,,,
"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\sulfidesMaterialsKeySearchFull.csv]sulfidesMaterialsKeySearchFull!A168"",""Ba3FeS5"")",4,orthorhombic,62,0.003,,"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\sulfidesMaterialsKeySearchFull.csv]sulfidesMaterialsKeySearchFull!A170"",""2"")",,,,,,,,"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\sulfidesMaterialsKeySearchFull.csv]sulfidesMaterialsKeySearchFull!A171"",""2"")","=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\sulfidesMaterialsKeySearchFull.csv]sulfidesMaterialsKeySearchFull!A172"",""2"")",,,,,,,,,,
"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\sulfidesMaterialsKeySearchFull.csv]sulfidesMaterialsKeySearchFull!A175"",""K(V5S8)3, KV15S24"")",1,triclinic,2,0.0039,,,,,,,,,,"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\sulfidesMaterialsKeySearchFull.csv]sulfidesMaterialsKeySearchFull!A177"",""1"")","=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\sulfidesMaterialsKeySearchFull.csv]sulfidesMaterialsKeySearchFull!A178"",""1"")",,,,,"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\sulfidesMaterialsKeySearchFull.csv]sulfidesMaterialsKeySearchFull!A179"",""1"")",,,"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\sulfidesMaterialsKeySearchFull.csv]sulfidesMaterialsKeySearchFull!A180"",""1"")",,
"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\sulfidesMaterialsKeySearchFull.csv]sulfidesMaterialsKeySearchFull!A183"",""K3(Cu4S3)2, K3Cu8S6"")",0,monoclinic,12,0.0044,,,,,,,,,,,,,,,,,,,,,
"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\sulfidesMaterialsKeySearchFull.csv]sulfidesMaterialsKeySearchFull!A187"",""BaVS3"")",114,"monoclinic, orthorhombic, orthorhombic, hexagonal","8, 36, 20, 194","0.0063, 0, 0, 0","=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\sulfidesMaterialsKeySearchFull.csv]sulfidesMaterialsKeySearchFull!A189"",""1"")","=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\sulfidesMaterialsKeySearchFull.csv]sulfidesMaterialsKeySearchFull!A190"",""12"")","=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\sulfidesMaterialsKeySearchFull.csv]sulfidesMaterialsKeySearchFull!A191"",""8"")","=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\sulfidesMaterialsKeySearchFull.csv]sulfidesMaterialsKeySearchFull!A192"",""29"")","=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\sulfidesMaterialsKeySearchFull.csv]sulfidesMaterialsKeySearchFull!A193"",""24"")",,,,,"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\sulfidesMaterialsKeySearchFull.csv]sulfidesMaterialsKeySearchFull!A194"",""25"")","=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\sulfidesMaterialsKeySearchFull.csv]sulfidesMaterialsKeySearchFull!A195"",""25"")","=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\sulfidesMaterialsKeySearchFull.csv]sulfidesMaterialsKeySearchFull!A196"",""3"")","=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\sulfidesMaterialsKeySearchFull.csv]sulfidesMaterialsKeySearchFull!A197"",""2"")","=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\sulfidesMaterialsKeySearchFull.csv]sulfidesMaterialsKeySearchFull!A198"",""1"")","=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\sulfidesMaterialsKeySearchFull.csv]sulfidesMaterialsKeySearchFull!A199"",""4"")","=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\sulfidesMaterialsKeySearchFull.csv]sulfidesMaterialsKeySearchFull!A200"",""4"")","=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\sulfidesMaterialsKeySearchFull.csv]sulfidesMaterialsKeySearchFull!A201"",""2"")",,"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\sulfidesMaterialsKeySearchFull.csv]sulfidesMaterialsKeySearchFull!A202"",""4"")",,"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\sulfidesMaterialsKeySearchFull.csv]sulfidesMaterialsKeySearchFull!A203"",""4"")"
"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\sulfidesMaterialsKeySearchFull.csv]sulfidesMaterialsKeySearchFull!A206"",""Ba6Cu34S27"")",0,triclinic,1,0.0106,,,,,,,,,,,,,,,,,,,,,
"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\sulfidesMaterialsKeySearchFull.csv]sulfidesMaterialsKeySearchFull!A210"",""Ba9Fe4S15"")",2,orthorhombic,62,0.0122,,"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\sulfidesMaterialsKeySearchFull.csv]sulfidesMaterialsKeySearchFull!A212"",""1"")",,,,,,,,"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\sulfidesMaterialsKeySearchFull.csv]sulfidesMaterialsKeySearchFull!A213"",""1"")","=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\sulfidesMaterialsKeySearchFull.csv]sulfidesMaterialsKeySearchFull!A214"",""1"")",,,,,,,,,,
"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\sulfidesMaterialsKeySearchFull.csv]sulfidesMaterialsKeySearchFull!A217"",""Ba6Ni25S27"")",1,cubic,221,0.0152,,"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\sulfidesMaterialsKeySearchFull.csv]sulfidesMaterialsKeySearchFull!A219"",""1"")","=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\sulfidesMaterialsKeySearchFull.csv]sulfidesMaterialsKeySearchFull!A220"",""1"")","=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\sulfidesMaterialsKeySearchFull.csv]sulfidesMaterialsKeySearchFull!A221"",""1"")",,,,,,"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\sulfidesMaterialsKeySearchFull.csv]sulfidesMaterialsKeySearchFull!A222"",""1"")","=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\sulfidesMaterialsKeySearchFull.csv]sulfidesMaterialsKeySearchFull!A223"",""1"")",,,,"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\sulfidesMaterialsKeySearchFull.csv]sulfidesMaterialsKeySearchFull!A224"",""1"")","=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\sulfidesMaterialsKeySearchFull.csv]sulfidesMaterialsKeySearchFull!A225"",""1"")",,,,,
"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\sulfidesMaterialsKeySearchFull.csv]sulfidesMaterialsKeySearchFull!A228"",""Ba15Fe7S25"")",1,orthorhombic,62,0.0247,,,,,,,,,,,,,,,,,,,,,
"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\sulfidesMaterialsKeySearchFull.csv]sulfidesMaterialsKeySearchFull!A232"",""Y2CrS4"")",3,orthorhombic,29,0.0285,,"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\sulfidesMaterialsKeySearchFull.csv]sulfidesMaterialsKeySearchFull!A234"",""1"")","=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\sulfidesMaterialsKeySearchFull.csv]sulfidesMaterialsKeySearchFull!A235"",""1"")",,,,,,,"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\sulfidesMaterialsKeySearchFull.csv]sulfidesMaterialsKeySearchFull!A236"",""3"")","=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\sulfidesMaterialsKeySearchFull.csv]sulfidesMaterialsKeySearchFull!A237"",""2"")",,,,,,,,"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\sulfidesMaterialsKeySearchFull.csv]sulfidesMaterialsKeySearchFull!A238"",""1"")",,
"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\sulfidesMaterialsKeySearchFull.csv]sulfidesMaterialsKeySearchFull!A241"",""Ba6Co25S27"")",1,cubic,221,0.0344,,,"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\sulfidesMaterialsKeySearchFull.csv]sulfidesMaterialsKeySearchFull!A243"",""1"")","=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\sulfidesMaterialsKeySearchFull.csv]sulfidesMaterialsKeySearchFull!A244"",""1"")",,,,,,"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\sulfidesMaterialsKeySearchFull.csv]sulfidesMaterialsKeySearchFull!A245"",""1"")","=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\sulfidesMaterialsKeySearchFull.csv]sulfidesMaterialsKeySearchFull!A246"",""1"")",,,,,"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\sulfidesMaterialsKeySearchFull.csv]sulfidesMaterialsKeySearchFull!A247"",""1"")",,,,,
"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\sulfidesMaterialsKeySearchFull.csv]sulfidesMaterialsKeySearchFull!A250"",""Ba5Fe4S11"")",1,orthorhombic,31,0.0457,,,,,,,,,,,,,,,,,,,,,
"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\sulfidesMaterialsKeySearchFull.csv]sulfidesMaterialsKeySearchFull!A254"",""Ba2CoS3"")",10,orthorhombic,62,0.0481,,"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\sulfidesMaterialsKeySearchFull.csv]sulfidesMaterialsKeySearchFull!A256"",""1"")","=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\sulfidesMaterialsKeySearchFull.csv]sulfidesMaterialsKeySearchFull!A257"",""3"")","=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\sulfidesMaterialsKeySearchFull.csv]sulfidesMaterialsKeySearchFull!A258"",""4"")",,,"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\sulfidesMaterialsKeySearchFull.csv]sulfidesMaterialsKeySearchFull!A259"",""1"")","=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\sulfidesMaterialsKeySearchFull.csv]sulfidesMaterialsKeySearchFull!A260"",""1"")",,"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\sulfidesMaterialsKeySearchFull.csv]sulfidesMaterialsKeySearchFull!A261"",""7"")","=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\sulfidesMaterialsKeySearchFull.csv]sulfidesMaterialsKeySearchFull!A262"",""2"")","=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\sulfidesMaterialsKeySearchFull.csv]sulfidesMaterialsKeySearchFull!A263"",""1"")",,,,"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\sulfidesMaterialsKeySearchFull.csv]sulfidesMaterialsKeySearchFull!A264"",""2"")",,,,,
