formula,element1,n1,element2,n2,element3,n3,crystalsystem,spacegroup,bandgap,,,
BaVSe3,Ba,2,Se,6,V,2,hexagonal,194,0,10486,,
BaVSe3,Ba,2,Se,6,V,2,orthorhombic,36,0,,,
BaFe2Se3,Ba,4,Se,12,Fe,8,orthorhombic,62,0,16308,,
Ba3Fe3Se7,Ba,6,Se,14,Fe,6,hexagonal,186,0,16310,,
K3FeSe3,K,12,Fe,4,Se,12,monoclinic,14,0,89586,,
KFeSe2,K,2,Fe,2,Se,4,monoclinic,15,0,40780,632405,
K(CoSe)2,K,1,Co,2,Se,2,tetragonal,139,0,623961,67370,
K2CoSe2,K,4,Co,2,Se,4,orthorhombic,72,0,67390,,
K(NiSe)2,Ni,2,K,1,Se,2,tetragonal,139,0,641276,,
K(CuSe)2,K,1,Se,2,Cu,2,tetragonal,139,0,98403,,
K3(FeSe2)2,K,12,Fe,8,Se,16,orthorhombic,62,0.0152,89587,,
KCu4Se3,K,1,Se,3,Cu,4,tetragonal,123,0.0768,280072,628205,
KCuSe,K,2,Se,2,Cu,2,hexagonal,194,0.1782,12157,,
K9Fe2Se7,K,36,Fe,8,Se,28,cubic,198,0.3782,73055,,
Ba(CuSe)2,Se,2,Ba,1,Cu,2,tetragonal,139,0.3793,89576,,
K6CoSe4,K,12,Co,2,Se,8,hexagonal,186,0.4271,68605,,
Ba(CuSe)2,Se,8,Ba,4,Cu,8,orthorhombic,62,0.4863,66657,89574,
K3(Cu4Se3)2,K,3,Se,6,Cu,8,monoclinic,12,0.5441,85728,85729,
LaCuSe2,Se,8,Cu,4,La,4,monoclinic,14,0.8799,628251,99675,628252
K2MnSe2,K,4,Mn,2,Se,4,orthorhombic,72,0.9895,65456,,
Ba2MnSe3,Mn,4,Ba,8,Se,12,orthorhombic,62,1.0675,603181,26230,
YCuSe2,Y,1,Se,2,Cu,1,trigonal,156,1.0705,,,
K6MnSe4,K,12,Mn,2,Se,8,hexagonal,186,1.2349,65450,,