formula,element1,n1,element2,n2,element3,n3,crystalsystem,spacegroup,bandgap,,,,,
Fe(RhS2)2,S,8,Rh,4,Fe,2,cubic,227,0,633232,174045,,,
Ni2RhS4,Ni,4,S,8,Rh,2,orthorhombic,74,0,,,,,
Cu(RhS2)2,S,8,Rh,4,Cu,2,cubic,227,0,41900,628767,,,
Ni(RhSe2)2,Ni,1,Rh,2,Se,4,monoclinic,12,0,646321,15214,,,
Cu(RhSe2)2,Rh,4,Se,8,Cu,2,cubic,227,0,628777,602898,628775,41903,
CrAgS2,Cr,1,S,2,Ag,1,trigonal,160,0,,,,,
FeAgS2,S,4,Fe,2,Ag,2,tetragonal,122,0,605138,156643,56263,,
CrAgSe2,Cr,1,Se,2,Ag,1,trigonal,160,0,25626,,,,
CuAuSe4,Au,2,Se,8,Cu,2,monoclinic,11,0,93052,,,,
Cu(IrS2)2,S,8,Ir,4,Cu,2,cubic,227,0,75531,,,,
Co2RhS4,Co,4,S,8,Rh,2,orthorhombic,74,0.0029,,,,,
Cr5AgS8,Cr,10,S,16,Ag,2,monoclinic,11,0.0105,,,,,
Fe2RhS4,S,8,Rh,2,Fe,4,orthorhombic,74,0.0108,,,,,
Fe2AgS3,S,12,Fe,8,Ag,4,orthorhombic,64,0.0181,68347,655645,,,
Cu(PtS2)2,S,16,Cu,4,Pt,8,monoclinic,10,0.1393,74894,,,,
CuAgS,S,2,Cu,2,Ag,2,orthorhombic,63,0.2572,30233,66580,,,
CrAgSe2,Cr,1,Se,2,Ag,1,trigonal,160,0.338,604993,24799,42397,42398,68423
CuAg3S2,S,8,Cu,4,Ag,12,tetragonal,141,0.4112,67526,163982,,,
CuAg3S2,S,8,Cu,4,Ag,12,tetragonal,88,0.429,163983,,,,
CuAgS,S,4,Cu,4,Ag,4,orthorhombic,62,0.5629,66581,66582,,,
CrAuS2,Cr,1,S,2,Au,1,trigonal,166,0.5956,88852,,,,
CrAgS2,Cr,1,S,2,Ag,1,trigonal,160,0.7287,42395,42396,24797,604981,